TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612766,Charlotte Hornets,35,15,20,0.429,125.438333,94,199,0.472,25,72,0.347,70,84,0.833,23,77,100,51,30.0,24,11,16,73,63,283,-25.0,21,24,17,23,25,22,28,6,22,29,8,25,25,8,28,23,27,21,5,6,27,13,11,26,25,22,2023-24
1610612741,Chicago Bulls,44,27,17,0.614,209.913333,176,364,0.484,47,121,0.388,126,156,0.808,43,141,184,99,47.0,37,22,20,106,120,525,115.0,3,1,10,6,1,1,1,3,2,3,2,1,1,13,6,1,1,1,28,1,6,19,30,1,1,1,2023-24
1610612739,Cleveland Cavaliers,42,20,22,0.476,154.345,104,241,0.432,32,101,0.317,85,107,0.794,33,97,130,61,45.0,11,12,23,74,77,325,-14.0,4,14,23,20,7,14,12,20,12,11,16,14,16,18,15,9,10,12,26,27,24,27,12,12,14,19,2023-24
1610612742,Dallas Mavericks,32,23,9,0.719,106.273333,95,200,0.475,39,106,0.368,71,83,0.855,22,74,96,58,17.0,15,12,10,52,63,300,76.0,29,6,1,2,29,20,27,5,4,9,4,24,26,3,29,25,29,17,1,22,24,1,1,26,22,3,2023-24
1610612743,Denver Nuggets,40,26,14,0.65,134.861667,122,230,0.53,28,79,0.354,90,118,0.763,33,92,125,70,37.0,19,12,12,62,85,362,90.0,9,2,4,3,16,5,16,1,19,25,6,9,7,22,15,13,13,4,20,15,24,9,5,7,7,2,2023-24
1610612765,Detroit Pistons,35,8,27,0.229,113.96,70,196,0.357,23,78,0.295,48,57,0.842,31,71,102,32,32.0,13,13,20,87,45,211,-102.0,21,30,28,30,27,30,29,29,25,26,21,28,29,6,20,28,26,30,8,24,20,19,25,29,28,29,2023-24
1610612744,Golden State Warriors,48,24,24,0.5,158.636667,137,310,0.442,54,156,0.346,73,89,0.82,41,82,123,87,33.0,23,10,19,96,77,401,5.0,1,3,25,14,5,2,2,15,1,1,9,22,22,11,7,20,14,2,13,7,29,18,28,12,2,14,2023-24
1610612745,Houston Rockets,40,17,23,0.425,147.5,112,268,0.418,35,104,0.337,76,113,0.673,39,80,119,68,23.0,28,13,29,98,77,335,-49.0,9,19,24,25,11,12,6,22,6,10,11,21,10,30,8,21,19,6,3,2,20,30,29,12,12,26,2023-24
1610612754,Indiana Pacers,37,18,19,0.486,128.376667,113,234,0.483,33,98,0.337,65,81,0.802,26,74,100,56,32.0,18,13,20,80,65,324,-8.0,15,17,15,17,22,11,15,4,10,14,10,27,27,15,27,25,27,19,8,19,20,19,16,25,15,16,2023-24
1610612746,LA Clippers,40,22,18,0.55,125.865,94,213,0.441,30,91,0.33,97,111,0.874,31,76,107,54,30.0,25,16,10,62,75,315,42.0,9,8,13,10,24,22,23,16,14,17,13,5,12,2,20,24,24,20,5,3,14,1,5,15,17,8,2023-24
1610612747,Los Angeles Lakers,33,24,9,0.727,143.628333,104,224,0.464,26,94,0.277,121,146,0.829,30,103,133,59,33.0,15,23,10,54,101,355,33.0,25,3,1,1,15,14,19,7,21,16,23,2,4,10,23,6,8,16,13,22,4,1,3,3,8,9,2023-24
1610612763,Memphis Grizzlies,36,15,21,0.417,130.161667,85,212,0.401,12,73,0.164,78,89,0.876,36,79,115,37,43.0,17,24,13,63,68,260,-22.0,18,24,21,26,21,27,24,25,29,28,30,18,22,1,14,22,22,29,25,20,3,11,7,24,27,21,2023-24
